Date,AAPL,ADBE,AMZN,BAC,BRK-B,CMCSA,DIS,GOOGL,HD,INTC,JNJ,JPM,MA,MSFT,NVDA,PG,UNH,V,VZ,XOM
2008-09-26,3.854149103164673,39.9900016784668,3.5350000858306885,28.159597396850586,88.5,7.295936584472656,27.445484161376953,10.73546028137207,17.52008056640625,11.9179048538208,42.185115814208984,31.639432907104492,16.987945556640625,19.943082809448242,0.2679935395717621,42.25430679321289,20.513174057006836,13.761157989501953,12.73702621459961,43.71445846557617
2008-09-29,3.1635043621063232,36.150001525878906,3.1675000190734863,23.21057891845703,89.16000366210938,6.347817420959473,24.914630889892578,9.489168167114258,16.54674530029297,10.7199068069458,40.66547775268555,26.890899658203125,15.423808097839355,18.20351791381836,0.2315426915884018,40.971466064453125,16.690298080444336,12.820674896240234,12.11956787109375,40.142513275146484
2008-09-30,3.415959358215332,39.470001220703125,3.638000011444092,26.855215072631836,87.9000015258789,6.918801307678223,25.719139099121094,9.97533130645752,17.142663955688477,11.626160621643066,42.11220169067383,30.629390716552734,16.27747917175293,19.42631721496582,0.2455269694328308,42.77604675292969,20.179365158081055,13.616976737976074,12.701401710510254,42.093807220458984
2008-10-01,3.279512643814087,38.119998931884766,3.4790000915527344,29.25684356689453,91.30000305175781,6.82011079788208,25.71076011657715,10.254278182983398,17.162527084350586,11.495811462402344,41.20649337768555,32.551109313964844,15.727632522583008,19.273460388183594,0.23864948749542236,43.74586868286133,19.9329833984375,13.599230766296387,12.432251930236816,42.592472076416016
2008-10-02,3.0084240436553955,35.220001220703125,3.368000030517578,27.90640640258789,92.16000366210938,6.467652797698975,25.107376098632812,9.72552490234375,16.460670471191406,10.676459312438965,41.20649337768555,32.94766616821289,14.698652267456055,19.10605239868164,0.2138904482126236,43.850196838378906,19.67865562438965,12.774093627929688,12.376843452453613,42.0070686340332
2008-10-03,2.9173595905303955,33.689998626708984,3.3499999046325684,26.456228256225586,93.0,6.492323398590088,24.75540542602539,9.636361122131348,15.765426635742188,10.744731903076172,40.2156982421875,30.336965560913086,14.70507526397705,19.156997680664062,0.20701292157173157,43.592403411865234,19.16205406188965,12.607738494873047,12.364965438842773,42.245567321777344
2008-10-06,2.9495182037353516,30.709999084472656,3.2614998817443848,24.72214698791504,87.80000305175781,6.415578842163086,23.68272590637207,9.245338439941406,15.109915733337402,10.508861541748047,39.20664978027344,29.081178665161133,15.366888999938965,18.130739212036133,0.1799614280462265,42.09470748901367,17.691722869873047,12.283890724182129,11.858329772949219,41.90951919555664
2008-10-07,2.679631471633911,28.690000534057617,2.9260001182556152,18.238529205322266,82.5,6.065443515777588,22.266456604003906,8.617708206176758,14.494129180908203,9.944002151489258,37.98485565185547,25.988004684448242,14.567389488220215,16.907955169677734,0.16597716510295868,40.664573669433594,16.308801651000977,11.345630645751953,11.43482494354248,41.23197937011719
2008-10-08,2.69856595993042,30.0,3.0510001182556152,16.957143783569336,78.5999984741211,6.008857250213623,21.520606994628906,8.420950889587402,14.017388343811035,10.08676815032959,37.90584945678711,25.974790573120117,15.025863647460938,16.747817993164062,0.1694158911705017,40.57249069213867,15.259700775146484,11.673913955688477,11.153275489807129,41.7360725402832
2008-10-09,2.667008638381958,27.989999771118164,2.799999952316284,15.061932563781738,77.0999984741211,5.768362998962402,19.94511604309082,8.193560600280762,13.19635009765625,9.683297157287598,35.00029754638672,24.243139266967773,14.305526733398438,16.231046676635742,0.15864114463329315,37.36844253540039,14.147017478942871,11.05727481842041,10.429299354553223,36.85783004760742
2008-10-10,2.909245729446411,27.1200008392334,2.8125,16.01338005065918,75.5999984741211,5.432374477386475,19.308212280273438,8.268775939941406,13.077157020568848,9.428801536560059,33.948692321777344,27.521385192871094,13.938936233520508,15.648767471313477,0.1561194360256195,36.558197021484375,13.789363861083984,11.534167289733887,10.767155647277832,33.80080032348633
2008-10-13,3.3137741088867188,30.3799991607666,3.1010000705718994,17.48658561706543,78.9000015258789,6.0017805099487305,22.39216423034668,9.489665985107422,14.374942779541016,10.546102523803711,38.10035705566406,27.752695083618164,15.95016098022461,18.56017303466797,0.18454647064208984,38.84768295288086,18.581872940063477,13.058012008666992,11.6359281539917,39.61132049560547
2008-10-14,3.128040075302124,29.200000762939453,2.7929999828338623,20.356258392333984,79.16000366210938,5.885072231292725,21.520606994628906,9.033638000488281,13.951178550720215,9.888138771057129,38.90270233154297,26.906713485717773,15.993343353271484,17.541175842285156,0.1804199367761612,39.34489822387695,18.27190399169922,12.778531074523926,11.643974304199219,39.2752571105957
2008-10-15,2.943807363510132,25.940000534057617,2.436000108718872,18.276884078979492,75.91999816894531,5.03272819519043,19.584758758544922,8.447351455688477,13.130130767822266,9.30465316772461,36.79954147338867,25.439420700073242,14.107992172241211,16.493078231811523,0.16093367338180542,36.717803955078125,17.222801208496094,11.035099029541016,10.714866638183594,33.795372009277344
2008-10-16,3.0622215270996094,27.690000534057617,2.5144999027252197,18.60682487487793,75.30000305175781,5.432374477386475,20.3389892578125,8.792298316955566,13.044052124023438,9.857102394104004,38.59878921508789,26.761310577392578,14.395569801330566,17.6066837310791,0.1765226572751999,37.91471862792969,17.98578643798828,11.77150821685791,11.02457046508789,37.64375305175781
2008-10-17,2.9272773265838623,28.18000030517578,2.5325000286102295,17.831857681274414,79.5199966430664,5.386396884918213,20.741239547729492,9.278462409973145,13.381743431091309,9.621225357055664,38.082115173339844,25.994611740112305,14.402002334594727,17.417449951171875,0.17537641525268555,37.89630889892578,19.38458824157715,11.582965850830078,10.93608283996582,36.87950134277344
